year,month,temp,sd,nbr
1919,03,1,2.3419108687275116,93
1919,04,5.2,1.6502264059853229,90
1919,05,10.9,3.2369961372420373,93
1919,06,14.45,2.3350662371943316,90
1919,07,15.7,1.8740202364588587,93
1919,08,14.1,1.4747167935974599,93
1919,09,14,2.2196109814253306,90
1919,10,7.6,3.000577706570025,93
1919,11,1.8,2.5471751262124687,90
1919,12,1.1,2.860935729648931,93
1920,01,1.1,2.1053261782846255,93
1920,02,2.3,1.4184440161286613,87
1920,03,4.2,1.8029902179546637,93
1920,04,7,1.4546820529435478,90
1920,05,11.1,2.675187706687543,93
1920,06,14.8,2.8286356738330403,90
1920,07,17.7,1.9216806381363976,93
1920,08,16,1.6892788184906644,93
1920,09,14,1.6239222873972812,90
1920,10,8.8,3.3627083409997462,93
1920,11,4.699999999999999,1.974020087503586,90
1920,12,2.1,1.720354997776061,93
1921,01,3.7,2.0739710156427065,93
1921,02,2.05,1.6609875992715966,84
1921,03,4.6,1.7321344794999214,93
1921,04,7,2.9488599968290927,90
1921,05,13,2.8660137116918025,93
1921,06,14.4,3.1409867482701976,90
1921,07,16.5,2.2416626476568577,93
1921,08,15.4,2.0702900718902124,93
1921,09,13.5,2.323753743552478,90
1921,10,11.6,2.579665238799993,93
1921,11,3.1500000000000004,2.624255675936349,90
1921,12,3.2,2.6459293318200143,93
1922,01,-1.2,2.569390429834607,93
1922,02,-1.4,4.219501619685821,84
1922,03,1.7,1.8107536806549946,93
1922,04,4.1,2.7287977350202572,90
1922,05,10.1,3.249273662857344,93
1922,06,14.3,1.9507481198801602,90
1922,07,15,1.564159263917377,93
1922,08,15,1.5511732277285126,93
1922,09,12.6,2.221862767432627,90
1922,10,6.6,3.085807669988051,93
1922,11,4.8,1.79918833135539,90
1922,12,4,2.0298854112015032,93
1923,01,3.2,1.904665662431992,93
1923,02,-0.1,3.3599382900105903,84
1923,03,1.5,2.144807378525422,93
1923,04,4.699999999999999,2.35954670946716,90
1923,05,8.7,1.9307221892450015,93
